id,Company,TypeName
665,Toshiba,Notebook
666,Dell,Notebook
667,HP,Notebook
668,Toshiba,Notebook
669,Acer,Notebook
670,Microsoft,Ultrabook
671,Lenovo,Notebook
672,Lenovo,2 in 1 Convertible
673,Lenovo,Notebook
674,HP,2 in 1 Convertible
675,MSI,Gaming
676,Asus,Ultrabook
677,HP,2 in 1 Convertible
678,LG,Ultrabook
679,Acer,Gaming
680,MSI,Gaming
681,Asus,Notebook
682,Dell,Gaming
683,HP,Notebook
684,Lenovo,2 in 1 Convertible
685,Dell,Gaming
686,HP,Notebook
687,Dell,Notebook
688,HP,Notebook
689,Lenovo,Notebook
690,Acer,Notebook
691,Lenovo,Notebook
692,HP,Workstation
693,Lenovo,2 in 1 Convertible
694,Toshiba,Notebook
695,Acer,Netbook
696,Lenovo,2 in 1 Convertible
697,Asus,2 in 1 Convertible
698,Toshiba,Ultrabook
699,HP,Notebook
700,Dell,Gaming
701,Lenovo,Notebook
702,Lenovo,Notebook
703,Lenovo,Notebook
704,Lenovo,Notebook
705,Dell,Notebook
706,Acer,2 in 1 Convertible
707,Lenovo,Workstation
708,Lenovo,Notebook
709,HP,Notebook
710,Lenovo,Gaming
711,Dell,Notebook
712,Dell,Notebook
713,Asus,Notebook
714,Dell,Notebook
715,Lenovo,Notebook
716,Dell,Notebook
717,Lenovo,Notebook
718,Mediacom,Notebook
719,HP,Notebook
720,Lenovo,Ultrabook
721,HP,2 in 1 Convertible
722,Lenovo,Ultrabook
723,Dell,Gaming
724,MSI,Gaming
725,Lenovo,Notebook
726,Dell,Notebook
727,Dell,2 in 1 Convertible
728,Dell,Notebook
729,HP,Notebook
730,Acer,Gaming
731,Dell,Notebook
732,HP,Notebook
733,Acer,Notebook
734,Lenovo,Notebook
735,Lenovo,Notebook
736,HP,Workstation
737,Dell,2 in 1 Convertible
738,MSI,Gaming
739,Acer,Notebook
740,Dell,Notebook
741,Dell,Notebook
742,Toshiba,Notebook
743,Lenovo,2 in 1 Convertible
744,Lenovo,Workstation
745,Acer,Notebook
746,Samsung,Ultrabook
747,HP,Notebook
748,Dell,Notebook
749,HP,Workstation
750,Lenovo,Netbook
751,HP,Notebook
752,Asus,Notebook
753,Lenovo,Ultrabook
754,Asus,Notebook
755,Lenovo,2 in 1 Convertible
756,HP,Notebook
757,HP,Workstation
758,Dell,Gaming
759,Acer,Notebook
760,Lenovo,Gaming
761,Dell,Ultrabook
762,Google,Ultrabook
763,Asus,Ultrabook
764,Dell,Notebook
765,Acer,Notebook
766,Asus,Notebook
767,Dell,Gaming
768,Samsung,Ultrabook
769,Acer,Notebook
770,Dell,Notebook
771,Samsung,2 in 1 Convertible
772,Toshiba,Notebook
773,Dell,Gaming
774,HP,Ultrabook
775,Asus,2 in 1 Convertible
776,Lenovo,Notebook
777,Acer,Notebook
778,Razer,Gaming
779,Asus,Notebook
780,Dell,Gaming
781,Asus,Gaming
782,Toshiba,Ultrabook
783,Lenovo,Notebook
784,Lenovo,Ultrabook
785,MSI,Gaming
786,MSI,Gaming
787,Lenovo,Gaming
788,Acer,Gaming
789,Dell,Gaming
790,Asus,Gaming
791,Vero,Notebook
792,Lenovo,2 in 1 Convertible
793,Lenovo,2 in 1 Convertible
794,Apple,Ultrabook
795,Lenovo,2 in 1 Convertible
796,Asus,Notebook
797,Dell,Notebook
798,Lenovo,2 in 1 Convertible
799,Dell,Notebook
800,HP,Workstation
801,Asus,Notebook
802,Dell,Ultrabook
803,Dell,Notebook
804,Dell,Netbook
805,HP,Netbook
806,Toshiba,Notebook
807,HP,Notebook
808,Dell,Gaming
809,Lenovo,Notebook
810,HP,Gaming
811,MSI,Gaming
812,Samsung,Ultrabook
813,Dell,Notebook
814,Dell,Notebook
815,Lenovo,Ultrabook
816,Razer,Ultrabook
817,HP,Netbook
818,Dell,Gaming
819,Dell,Notebook
820,Lenovo,Notebook
821,Toshiba,Ultrabook
822,Lenovo,Ultrabook
823,MSI,Gaming
824,Lenovo,Ultrabook
825,Toshiba,Notebook
826,Asus,2 in 1 Convertible
827,Dell,Notebook
828,Acer,Netbook
829,Acer,Notebook
830,Razer,Gaming
831,Lenovo,Ultrabook
832,Asus,Notebook
833,Lenovo,Notebook
834,Lenovo,Notebook
835,Dell,Gaming
836,Asus,Gaming
837,Toshiba,Notebook
838,Lenovo,Notebook
839,Asus,Notebook
840,Asus,Gaming
841,Dell,Gaming
842,HP,Notebook
843,Dell,Notebook
844,HP,Ultrabook
845,Dell,Notebook
846,HP,2 in 1 Convertible
847,Asus,Ultrabook
848,HP,2 in 1 Convertible
849,HP,Ultrabook
850,HP,Notebook
851,Asus,Gaming
852,Dell,Notebook
853,Lenovo,Ultrabook
854,Asus,Notebook
855,Dell,Notebook
856,Asus,Notebook
857,HP,2 in 1 Convertible
858,Dell,Notebook
859,Lenovo,Notebook
860,Lenovo,Notebook
861,HP,Notebook
862,Toshiba,Notebook
863,Lenovo,Gaming
864,Dell,Ultrabook
865,HP,Notebook
866,Toshiba,Ultrabook
867,Lenovo,2 in 1 Convertible
868,Acer,Notebook
869,Dell,Workstation
870,Lenovo,Notebook
871,Lenovo,Notebook
872,Toshiba,Notebook
873,Lenovo,Notebook
874,Samsung,Ultrabook
875,Dell,Ultrabook
876,Asus,Notebook
877,Xiaomi,Ultrabook
878,Dell,Notebook
879,HP,Notebook
880,HP,2 in 1 Convertible
881,HP,2 in 1 Convertible
882,Asus,Notebook
883,Lenovo,Notebook
884,Dell,Notebook
885,HP,2 in 1 Convertible
886,Dell,Notebook
887,Asus,Gaming
888,Acer,Netbook
889,Lenovo,Notebook
890,HP,Notebook
891,HP,2 in 1 Convertible
892,Samsung,Ultrabook
893,Lenovo,Ultrabook
894,MSI,Gaming
895,Toshiba,Notebook
896,Dell,Gaming
897,HP,Notebook
898,Dell,Notebook
899,Dell,Notebook
900,Dell,2 in 1 Convertible
901,Asus,Gaming
902,Dell,2 in 1 Convertible
903,Lenovo,Ultrabook
904,Lenovo,Notebook
905,LG,Ultrabook
906,HP,Netbook
907,Acer,Notebook
908,Lenovo,Notebook
909,LG,Ultrabook
910,Dell,Notebook
911,HP,Ultrabook
912,Lenovo,Notebook
913,HP,Notebook
914,Acer,Notebook
915,Lenovo,Notebook
916,HP,Notebook
917,MSI,Gaming
918,Dell,Gaming
919,MSI,Gaming
920,Dell,Notebook
921,HP,Ultrabook
922,HP,Ultrabook
923,Toshiba,Notebook
924,Lenovo,2 in 1 Convertible
925,Dell,Notebook
926,Lenovo,Ultrabook
927,HP,Notebook
928,Dell,Notebook
929,HP,Notebook
930,Lenovo,Notebook
931,HP,Ultrabook
932,HP,Notebook
933,Lenovo,2 in 1 Convertible
934,Toshiba,Notebook
935,HP,Netbook
936,Dell,Notebook
937,MSI,Gaming
938,Dell,Ultrabook
939,Dell,Gaming
940,HP,Gaming
941,Asus,Notebook
942,Acer,Notebook
943,Toshiba,Notebook
944,Lenovo,2 in 1 Convertible
945,Lenovo,Gaming
946,Dell,Ultrabook
947,Lenovo,Notebook
948,Dell,Notebook
949,Acer,Notebook
950,HP,Workstation
951,Dell,Ultrabook
952,Toshiba,Notebook
953,Asus,2 in 1 Convertible
954,Lenovo,Ultrabook
955,Dell,Gaming
956,Dell,2 in 1 Convertible
957,HP,2 in 1 Convertible
958,Dell,Ultrabook
959,Acer,2 in 1 Convertible
960,Toshiba,Notebook
961,Lenovo,Ultrabook
962,Acer,Notebook
963,Toshiba,Ultrabook
964,HP,Notebook
965,Dell,Notebook
966,Dell,Notebook
967,HP,Notebook
968,Dell,Gaming
969,Lenovo,Notebook
970,Dell,2 in 1 Convertible
971,Dell,Ultrabook
972,Dell,Gaming
973,Toshiba,Notebook
974,Asus,Gaming
975,HP,Notebook
976,Lenovo,Notebook
977,Asus,2 in 1 Convertible
978,HP,Notebook
979,Asus,Gaming
980,Dell,2 in 1 Convertible
981,Toshiba,Notebook
982,Lenovo,Notebook
983,Fujitsu,Notebook
984,Toshiba,Notebook
985,Dell,Notebook
986,HP,Notebook
987,Lenovo,Gaming
988,Dell,Notebook
989,Dell,Notebook
990,HP,Netbook
991,HP,Notebook
992,Lenovo,Notebook
993,Lenovo,Notebook
994,Dell,2 in 1 Convertible
995,Asus,Notebook
996,HP,Ultrabook
997,Acer,Notebook
998,Asus,Gaming
999,HP,Ultrabook
1000,Acer,Gaming
1001,HP,Notebook
1002,Dell,Notebook
1003,HP,Notebook
1004,Toshiba,Notebook
1005,HP,Notebook
1006,HP,Notebook
1007,HP,Ultrabook
1008,HP,Notebook
1009,HP,Notebook
1010,Dell,Gaming
1011,HP,Ultrabook
1012,HP,Notebook
1013,HP,Ultrabook
1014,HP,Notebook
1015,Toshiba,Notebook
1016,HP,Notebook
1017,Lenovo,Notebook
1018,Toshiba,Notebook
1019,HP,Notebook
1020,Dell,2 in 1 Convertible
1021,Toshiba,Ultrabook
1022,HP,Notebook
1023,HP,Notebook
1024,Dell,Notebook
1025,HP,Ultrabook
1026,HP,Notebook
1027,HP,Notebook
1028,Dell,Ultrabook
1029,HP,Notebook
1030,HP,Notebook
1031,Acer,Notebook
1032,MSI,Gaming
1033,HP,Notebook
1034,HP,Notebook
1035,HP,Ultrabook
1036,HP,Notebook
1037,Toshiba,Ultrabook
1038,Dell,Notebook
1039,HP,Notebook
1040,Lenovo,2 in 1 Convertible
1041,Vero,Notebook
1042,Toshiba,Notebook
1043,Lenovo,Notebook
1044,HP,Notebook
1045,HP,Notebook
1046,HP,Notebook
1047,MSI,Gaming
1048,Lenovo,Gaming
1049,Asus,Netbook
1050,Lenovo,Notebook
1051,HP,Notebook
1052,Dell,2 in 1 Convertible
1053,HP,Notebook
1054,Dell,Ultrabook
1055,HP,Notebook
1056,HP,Notebook
1057,Acer,Notebook
1058,Dell,2 in 1 Convertible
1059,MSI,Gaming
1060,HP,Notebook
1061,Asus,Gaming
1062,Dell,Notebook
1063,Dell,Notebook
1064,MSI,Gaming
1065,Dell,Ultrabook
1066,Asus,Gaming
1067,Dell,2 in 1 Convertible
1068,Dell,Gaming
1069,Apple,Ultrabook
1070,Dell,Notebook
1071,HP,Notebook
1072,HP,Ultrabook
1073,HP,Notebook
1074,Lenovo,Ultrabook
1075,Lenovo,Notebook
1076,Lenovo,Notebook
1077,MSI,Gaming
1078,Lenovo,Notebook
1079,HP,Notebook
1080,Lenovo,Ultrabook
1081,Lenovo,Gaming
1082,Lenovo,2 in 1 Convertible
1083,HP,Ultrabook
1084,Dell,Notebook
1085,HP,Notebook
1086,HP,Workstation
1087,Lenovo,Notebook
1088,HP,Notebook
1089,Acer,Notebook
1090,Dell,Notebook
1091,HP,Notebook
1092,Asus,Gaming
1093,Dell,Ultrabook
1094,HP,Netbook
1095,Acer,Notebook
1096,Dell,Notebook
1097,MSI,Gaming
1098,HP,Notebook
1099,Asus,Gaming
1100,Dell,Ultrabook
1101,Dell,Ultrabook
1102,Acer,Notebook
1103,HP,Workstation
1104,Lenovo,Gaming
1105,Dell,Ultrabook
1106,MSI,Gaming
1107,Lenovo,2 in 1 Convertible
1108,HP,Notebook
1109,Asus,Gaming
1110,HP,Notebook
1111,Dell,Notebook
1112,Lenovo,Notebook
1113,HP,Ultrabook
1114,Lenovo,2 in 1 Convertible
1115,Dell,Ultrabook
1116,Lenovo,Gaming
1117,Razer,Ultrabook
1118,Toshiba,Ultrabook
1119,Asus,Gaming
1120,Vero,Notebook
1121,HP,Notebook
1122,HP,Notebook
1123,Dell,Notebook
1124,Asus,Notebook
1125,Lenovo,2 in 1 Convertible
1126,Lenovo,2 in 1 Convertible
1127,HP,Ultrabook
1128,Lenovo,Gaming
1129,HP,Gaming
1130,HP,Notebook
1131,Lenovo,2 in 1 Convertible
1132,Asus,Notebook
1133,HP,Ultrabook
1134,Acer,Notebook
1135,Lenovo,Notebook
1136,HP,Workstation
1137,Dell,Notebook
1138,MSI,Gaming
1139,HP,Ultrabook
1140,Lenovo,2 in 1 Convertible
1141,MSI,Gaming
1142,HP,2 in 1 Convertible
1143,HP,Workstation
1144,HP,2 in 1 Convertible
1145,HP,Workstation
1146,HP,Ultrabook
1147,Dell,Notebook
1148,HP,Notebook
1149,Lenovo,2 in 1 Convertible
1150,Lenovo,Notebook
1151,HP,Notebook
1152,Lenovo,Notebook
1153,Dell,Gaming
1154,Dell,Notebook
1155,HP,Notebook
1156,MSI,Gaming
1157,Lenovo,Ultrabook
1158,Lenovo,Notebook
1159,HP,2 in 1 Convertible
1160,Lenovo,Ultrabook
1161,MSI,Gaming
1162,HP,Gaming
1163,Lenovo,Notebook
1164,HP,Notebook
1165,Dell,Gaming
1166,Lenovo,Notebook
1167,Lenovo,Notebook
1168,HP,Notebook
1169,MSI,Gaming
1170,HP,Notebook
1171,HP,Notebook
1172,Asus,Notebook
1173,Lenovo,Notebook
1174,Lenovo,Notebook
1175,Asus,Notebook
1176,Lenovo,Notebook
1177,Lenovo,Gaming
1178,MSI,Gaming
1179,HP,Notebook
1180,Lenovo,2 in 1 Convertible
1181,Lenovo,Ultrabook
1182,Dell,Notebook
1183,Acer,Notebook
1184,HP,Notebook
1185,Asus,Gaming
1186,Dell,2 in 1 Convertible
1187,Acer,Notebook
1188,Dell,Ultrabook
1189,Acer,Gaming
1190,Lenovo,Gaming
1191,Samsung,2 in 1 Convertible
1192,HP,Notebook
1193,Apple,Ultrabook
1194,Dell,2 in 1 Convertible
1195,HP,Notebook
1196,Lenovo,Notebook
1197,Asus,Gaming
1198,Acer,Notebook
1199,MSI,Gaming
1200,Dell,Notebook
1201,Lenovo,Notebook
1202,Dell,2 in 1 Convertible
1203,Dell,Ultrabook
1204,Asus,Gaming
1205,Dell,Notebook
1206,HP,Notebook
1207,Lenovo,Notebook
1208,Acer,Notebook
1209,Asus,Gaming
1210,Apple,Ultrabook
1211,Asus,Notebook
1212,MSI,Gaming
1213,Dell,2 in 1 Convertible
1214,Asus,Gaming
1215,Acer,Netbook
1216,Acer,Notebook
1217,Lenovo,Notebook
1218,Lenovo,Gaming
1219,Acer,2 in 1 Convertible
1220,Lenovo,Notebook
1221,MSI,Gaming
1222,HP,Notebook
1223,Dell,Ultrabook
1224,Dell,2 in 1 Convertible
1225,Asus,Notebook
1226,Dell,Ultrabook
1227,Dell,Notebook
1228,Lenovo,Gaming
1229,MSI,Gaming
1230,Lenovo,Netbook
1231,Razer,Gaming
1232,Dell,Notebook
1233,MSI,Gaming
1234,Apple,Ultrabook
1235,HP,Notebook
1236,HP,Ultrabook
1237,Dell,Notebook
1238,MSI,Gaming
1239,Lenovo,Notebook
1240,Lenovo,Notebook
1241,Asus,Ultrabook
1242,Acer,Notebook
1243,Dell,2 in 1 Convertible
1244,HP,Notebook
1245,Asus,Gaming
1246,Dell,Notebook
1247,Asus,Gaming
1248,Lenovo,Notebook
1249,Dell,2 in 1 Convertible
1250,Dell,Notebook
1251,HP,Notebook
1252,Lenovo,Notebook
1253,Lenovo,Notebook
1254,Dell,Notebook
1255,Asus,Notebook
1256,Asus,Gaming
1257,Dell,Notebook
1258,Lenovo,Notebook
1259,MSI,Gaming
1260,Lenovo,2 in 1 Convertible
1261,Asus,Ultrabook
1262,Dell,Notebook
1263,Acer,Notebook
1264,Dell,Notebook
1265,Lenovo,Notebook
1266,HP,Notebook
1267,Dell,Notebook
1268,HP,Netbook
1269,Asus,Notebook
1270,Lenovo,2 in 1 Convertible
1271,Lenovo,2 in 1 Convertible
1272,Lenovo,Notebook
1273,HP,Notebook
1274,Asus,Notebook
1275,Asus,Ultrabook
1276,Dell,Notebook
1277,Acer,Notebook
1278,Dell,Notebook
1279,Lenovo,Notebook
1280,HP,Notebook
1281,Dell,Notebook
1282,HP,Netbook
1283,Asus,Notebook
1284,Lenovo,2 in 1 Convertible
1285,Lenovo,2 in 1 Convertible
1286,Lenovo,Notebook
1287,HP,Notebook
1288,Asus,Notebook
1289,Asus,Ultrabook
1290,Dell,Notebook
1291,Acer,Notebook
1292,Dell,Notebook
1293,Lenovo,Notebook
1294,HP,Notebook
1295,Dell,Notebook
1296,HP,Netbook
1297,Asus,Notebook
1298,Lenovo,2 in 1 Convertible
1299,Lenovo,2 in 1 Convertible
1300,Lenovo,Notebook
1301,HP,Notebook
1302,Asus,Notebook
